wavenumber	20°C	40°C	45°C	50°C
16124,86394	0,28351	0,30931	0,31425	0,32063
16118,20044	0,28289	0,30747	0,31219	0,31869
16111,54265	0,28223	0,30564	0,30997	0,31701
16104,89058	0,28146	0,30381	0,30761	0,31559
16098,24421	0,28051	0,30199	0,30514	0,31438
16091,60355	0,27936	0,30016	0,30261	0,31326
16084,96857	0,27799	0,29835	0,3001	0,31211
16078,33928	0,27642	0,29654	0,29769	0,31079
16071,71566	0,27465	0,29475	0,29548	0,30921
16065,09771	0,27274	0,29298	0,29355	0,3073
16058,48543	0,27074	0,29124	0,29194	0,30508
16051,8788	0,2687	0,28952	0,29066	0,30263
16045,27782	0,26669	0,28784	0,28969	0,30006
16038,68248	0,26479	0,28619	0,28896	0,29752
16032,09277	0,26304	0,28458	0,28835	0,29516
16025,50869	0,26151	0,283	0,28774	0,29309
16018,93022	0,2602	0,28145	0,28701	0,29135
16012,35737	0,2591	0,27992	0,28605	0,28995
16005,79012	0,25818	0,27842	0,28479	0,28881
15999,22847	0,25736	0,27693	0,28322	0,28782
15992,67241	0,25657	0,27546	0,28136	0,28683
15986,12194	0,25571	0,27399	0,27928	0,28571
15979,57703	0,25471	0,27251	0,2771	0,28433
15973,0377	0,25354	0,27102	0,27494	0,28263
15966,50393	0,25215	0,26952	0,27289	0,2806
15959,97572	0,25059	0,26801	0,27106	0,2783
15953,45305	0,24887	0,26647	0,26947	0,27583
15946,93592	0,24708	0,26491	0,26813	0,27332
15940,42432	0,24527	0,26333	0,26701	0,27092
15933,91826	0,2435	0,26174	0,26604	0,26874
15927,41771	0,24182	0,26012	0,26514	0,26686
15920,92267	0,24027	0,2585	0,26423	0,2653
15914,43314	0,23883	0,25686	0,26324	0,26401
15907,9491	0,2375	0,25522	0,26214	0,2629
15901,47056	0,23624	0,25358	0,26088	0,26184
15894,99751	0,23502	0,25193	0,25947	0,26072
15888,52993	0,2338	0,25029	0,25791	0,25943
15882,06782	0,23255	0,24865	0,25618	0,25793
15875,61117	0,23124	0,24702	0,2543	0,25621
15869,15998	0,22986	0,24539	0,25228	0,25434
15862,71424	0,22842	0,24376	0,25014	0,2524
15856,27394	0,22693	0,24213	0,24789	0,2505
15849,83908	0,2254	0,24049	0,24561	0,24871
15843,40965	0,22386	0,23885	0,24336	0,24708
15836,98564	0,22233	0,2372	0,24121	0,24559
15830,56705	0,22082	0,23554	0,23924	0,24417
15824,15386	0,21935	0,23386	0,23752	0,24274
15817,74608	0,2179	0,23218	0,23607	0,2412
15811,34369	0,21646	0,23049	0,23486	0,23948
15804,94669	0,21501	0,22879	0,23383	0,23757
15798,55507	0,21351	0,22708	0,23287	0,23549
15792,16883	0,21195	0,22537	0,23186	0,23334
15785,78795	0,21031	0,22366	0,2307	0,23124
15779,41243	0,2086	0,22195	0,22932	0,2293
15773,04227	0,20683	0,22026	0,22769	0,2276
15766,67746	0,20503	0,21857	0,22587	0,22617
15760,31798	0,20325	0,2169	0,22394	0,22499
15753,96384	0,20152	0,21523	0,22201	0,22394
15747,61503	0,19987	0,21358	0,22018	0,22292
15741,27154	0,19831	0,21195	0,21854	0,22179
15734,93336	0,19685	0,21032	0,2171	0,22046
15728,60049	0,19547	0,20869	0,21581	0,21887
15722,27292	0,19415	0,20707	0,21457	0,21703
15715,95065	0,19285	0,20544	0,21326	0,21502
15709,63366	0,19156	0,20381	0,21176	0,21291
15703,32195	0,19027	0,20216	0,21001	0,21081
15697,01552	0,18898	0,2005	0,20797	0,2088
15690,71435	0,1877	0,19882	0,20572	0,20692
